Incident Id,Date of Arrest,Time of Arrest,Primary Charge,Arrestee's Age,Arrestee's Race,Arrestee's Gender,Type of Arrest,Drugs or Alcohol Present,Weapon Present
35979,2016-07-22,6:30,FAIL TO APPEAR,25.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
35993,2016-07-24,23:46,OTHER,26.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36004,2016-07-27,1:11,OTHER,61.0,B,M,SUMMONED/CITED,Y,UNARMED
36019,2016-07-27,4:30,OTHER,30.0,B,M,ON VIEW,U,HANDGUN
36008,2016-07-27,16:53,OTHER,25.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36013,2016-07-27,21:07,LARCENY,47.0,B,M,ON VIEW,Y,UNARMED
36015,2016-07-27,21:22,OTHER,46.0,B,M,SUMMONED/CITED,Y,UNARMED
36024,2016-07-28,19:02,ASSAULT,33.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36029,2016-07-29,4:52,OTHER,19.0,W,M,ON VIEW,Y,UNARMED
36028,2016-07-29,5:19,OTHER,22.0,A,M,ON VIEW,Y,UNARMED
36032,2016-07-30,8:45,OTHER,61.0,B,M,SUMMONED/CITED,N,UNARMED
36035,2016-07-30,11:30,ALCOHOL,27.0,B,M,SUMMONED/CITED,Y,UNARMED
36042,2016-07-31,2:58,DWI,21.0,W,F,ON VIEW,Y,UNARMED
36039,2016-07-31,3:40,DWI,29.0,W,M,ON VIEW,Y,UNARMED
36052,2016-08-02,18:00,OTHER,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,HANDGUN
36058,2016-08-03,7:17,TRESPASSING,38.0,B,M,SUMMONED/CITED,U,UNARMED
36062,2016-08-04,2:13,DWI,26.0,W,M,ON VIEW,Y,UNARMED
36060,2016-08-04,6:26,LARCENY,21.0,W,M,ON VIEW,Y,UNARMED
36063,2016-08-04,19:53,OTHER,23.0,W,F,SUMMONED/CITED,N,UNARMED
36065,2016-08-06,1:01,TRESPASSING,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36072,2016-08-06,9:28,DRUGS,48.0,B,M,SUMMONED/CITED,Y,UNARMED
36073,2016-08-06,9:28,DRUGS,57.0,B,M,SUMMONED/CITED,Y,UNARMED
36069,2016-08-06,11:13,TRESPASSING,56.0,W,M,ON VIEW,Y,UNARMED
36074,2016-08-06,18:50,LARCENY,26.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36078,2016-08-08,2:14,FAIL TO APPEAR,44.0,B,F,ON VIEW,N,UNARMED
36097,2016-08-09,1:41,DWI,22.0,W,M,ON VIEW,Y,UNARMED
36082,2016-08-09,14:49,TRESPASSING,51.0,W,F,ON VIEW,Y,UNARMED
36083,2016-08-09,18:16,DRUGS,30.0,W,M,ON VIEW,Y,UNARMED
36090,2016-08-11,9:00,ALCOHOL,55.0,W,M,ON VIEW,Y,UNARMED
36095,2016-08-12,2:56,DRUGS,24.0,B,M,ON VIEW,Y,UNARMED
36096,2016-08-12,18:10,TRESPASSING,56.0,W,M,ON VIEW,Y,UNARMED
36104,2016-08-13,18:37,DRUGS,23.0,W,M,ON VIEW,Y,UNARMED
36110,2016-08-15,0:32,OTHER,28.0,A,F,ON VIEW,N,UNARMED
36111,2016-08-15,7:30,OTHER,48.0,B,M,SUMMONED/CITED,N,UNARMED
36115,2016-08-15,18:46,DRUGS,47.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36120,2016-08-16,20:32,ALCOHOL,51.0,W,F,SUMMONED/CITED,Y,UNARMED
36122,2016-08-17,11:52,OTHER,41.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36124,2016-08-18,1:03,ALCOHOL,20.0,W,M,SUMMONED/CITED,Y,UNARMED
36131,2016-08-19,22:17,OTHER,56.0,W,M,ON VIEW,Y,UNARMED
36138,2016-08-22,1:18,OTHER,55.0,B,F,SUMMONED/CITED,Y,UNARMED
36154,2016-08-26,2:02,DWI,22.0,W,M,ON VIEW,Y,UNARMED
36159,2016-08-26,10:25,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
36155,2016-08-26,12:31,ALCOHOL,54.0,B,M,ON VIEW,Y,UNARMED
36168,2016-08-26,23:04,ALCOHOL,22.0,W,M,SUMMONED/CITED,Y,UNARMED
36167,2016-08-27,2:54,DWI,22.0,B,F,ON VIEW,Y,UNARMED
36176,2016-08-27,23:10,ALCOHOL,27.0,W,F,SUMMONED/CITED,Y,UNARMED
36184,2016-08-29,12:48,FAIL TO APPEAR,21.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36186,2016-08-29,20:56,ALCOHOL,54.0,B,M,SUMMONED/CITED,Y,UNARMED
36198,2016-09-02,21:10,OTHER,61.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36202,2016-09-04,1:44,OTHER,24.0,W,M,ON VIEW,Y,UNARMED
36203,2016-09-04,7:47,OTHER,49.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36204,2016-09-04,9:45,ASSAULT,25.0,B,F,SUMMONED/CITED,N,UNARMED
36208,2016-09-04,17:39,OTHER,19.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36213,2016-09-07,0:01,ALCOHOL,70.0,B,M,ON VIEW,Y,UNARMED
36221,2016-09-07,18:13,TRESPASSING,52.0,W,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36225,2016-09-08,12:26,ASSAULT,27.0,W,M,ON VIEW,N,UNARMED
36232,2016-09-10,23:21,OTHER,29.0,B,M,ON VIEW,N,UNARMED
36235,2016-09-11,3:26,DWI,29.0,W,M,ON VIEW,Y,UNARMED
36239,2016-09-12,15:00,ALCOHOL,36.0,W,M,ON VIEW,Y,UNARMED
36244,2016-09-12,23:30,OTHER,23.0,B,M,ON VIEW,N,UNARMED
36245,2016-09-13,9:26,ALCOHOL,52.0,B,M,ON VIEW,Y,UNARMED
36252,2016-09-15,20:25,ALCOHOL,52.0,B,F,SUMMONED/CITED,Y,UNARMED
36251,2016-09-15,22:31,TRESPASSING,20.0,B,M,SUMMONED/CITED,N,UNARMED
36257,2016-09-17,10:21,FAIL TO APPEAR,27.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36271,2016-09-17,12:32,TRESPASSING,52.0,B,F,SUMMONED/CITED,Y,UNARMED
36262,2016-09-17,13:30,ALCOHOL,26.0,B,F,SUMMONED/CITED,N,UNARMED
36264,2016-09-17,14:00,ALCOHOL,34.0,W,F,SUMMONED/CITED,N,UNARMED
36275,2016-09-18,19:01,OTHER,49.0,B,M,ON VIEW,U,UNARMED
36283,2016-09-19,22:54,OTHER,18.0,B,M,SUMMONED/CITED,Y,UNARMED
36288,2016-09-20,22:25,DWI,59.0,W,M,ON VIEW,Y,UNARMED
36301,2016-09-22,18:47,FAIL TO APPEAR,48.0,W,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36300,2016-09-22,21:43,LARCENY,53.0,W,M,ON VIEW,N,UNARMED
36306,2016-09-24,2:14,ALCOHOL,21.0,W,M,SUMMONED/CITED,Y,UNARMED
36312,2016-09-25,0:41,ASSAULT,29.0,A,M,ON VIEW,Y,UNARMED
36321,2016-09-26,10:20,ALCOHOL,61.0,B,M,ON VIEW,Y,UNARMED
36320,2016-09-26,15:13,DRUGS,52.0,B,M,SUMMONED/CITED,Y,UNARMED
36332,2016-09-30,20:57,FAIL TO APPEAR,27.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36334,2016-10-01,2:08,DWI,23.0,W,M,ON VIEW,Y,UNARMED
36339,2016-10-01,22:17,LARCENY,25.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36345,2016-10-02,15:01,DRUGS,24.0,W,F,ON VIEW,Y,UNARMED
36350,2016-10-03,14:40,TRESPASSING,51.0,W,F,SUMMONED/CITED,U,UNARMED
36356,2016-10-05,18:23,DWI,53.0,W,M,ON VIEW,Y,UNARMED
36364,2016-10-09,13:34,FAIL TO APPEAR,55.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36377,2016-10-11,1:22,ASSAULT,30.0,B,M,ON VIEW,N,UNARMED
36371,2016-10-11,10:53,DRUGS,52.0,B,F,SUMMONED/CITED,Y,UNARMED
36372,2016-10-11,10:53,DRUGS,47.0,B,M,SUMMONED/CITED,Y,UNARMED
36373,2016-10-11,11:35,DRUGS,57.0,B,M,SUMMONED/CITED,Y,UNARMED
36379,2016-10-11,21:44,OTHER,46.0,B,M,SUMMONED/CITED,Y,UNARMED
36378,2016-10-11,22:42,OTHER,44.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36383,2016-10-13,23:40,OTHER,37.0,B,F,SUMMONED/CITED,U,UNARMED
36388,2016-10-15,0:17,LARCENY,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
36395,2016-10-16,11:04,FAIL TO APPEAR,61.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
36397,2016-10-16,15:24,ALCOHOL,59.0,W,M,SUMMONED/CITED,Y,UNARMED
36400,2016-10-17,10:23,TRESPASSING,51.0,B,M,ON VIEW,U,UNARMED
36399,2016-10-17,14:20,TRESPASSING,51.0,B,M,SUMMONED/CITED,U,UNARMED
36412,2016-10-19,14:34,ASSAULT,45.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36430,2016-10-20,18:12,FAIL TO APPEAR,48.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36425,2016-10-23,20:31,TRESPASSING,54.0,B,M,ON VIEW,Y,UNARMED
36431,2016-10-25,9:33,OTHER,18.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36460,2016-10-28,21:31,OTHER,47.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36463,2016-10-29,23:40,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
36482,2016-10-31,19:59,ALCOHOL,48.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36488,2016-11-02,1:04,OTHER,48.0,B,M,SUMMONED/CITED,Y,UNARMED
36492,2016-11-03,3:57,FAIL TO APPEAR,31.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36497,2016-11-04,9:30,OTHER,40.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36498,2016-11-04,17:56,ASSAULT,42.0,W,F,ON VIEW,N,UNARMED
36505,2016-11-06,1:55,DWI,27.0,B,M,ON VIEW,Y,UNARMED
36509,2016-11-06,4:41,DWI,22.0,W,M,ON VIEW,Y,UNARMED
36515,2016-11-08,11:15,OTHER,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36514,2016-11-08,13:06,FAIL TO APPEAR,50.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36516,2016-11-08,18:17,FAIL TO APPEAR,44.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
36517,2016-11-09,8:42,LARCENY,28.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36518,2016-11-09,16:23,OTHER,29.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
36527,2016-11-11,15:34,ALCOHOL,21.0,A,F,SUMMONED/CITED,N,UNARMED
36530,2016-11-11,15:35,ALCOHOL,22.0,W,F,SUMMONED/CITED,N,UNARMED
36536,2016-11-16,1:12,DRUGS,30.0,B,F,SUMMONED/CITED,Y,UNARMED
36550,2016-11-20,2:22,DWI,41.0,W,M,ON VIEW,Y,UNARMED
36551,2016-11-20,3:27,DWI,33.0,W,M,ON VIEW,Y,UNARMED
36555,2016-11-21,17:31,LARCENY,23.0,B,M,SUMMONED/CITED,U,UNARMED
36557,2016-11-22,9:55,OTHER,18.0,B,F,SUMMONED/CITED,N,UNARMED
36559,2016-11-22,15:06,LARCENY,45.0,B,F,ON VIEW,Y,UNARMED
36565,2016-11-24,19:35,DWI,59.0,W,F,ON VIEW,Y,UNARMED
36568,2016-11-26,2:06,ALCOHOL,29.0,W,M,SUMMONED/CITED,Y,UNARMED
36576,2016-11-26,16:11,ALCOHOL,44.0,B,M,SUMMONED/CITED,Y,UNARMED
36575,2016-11-26,17:56,TRESPASSING,25.0,B,M,SUMMONED/CITED,U,UNARMED
36578,2016-11-27,5:25,ASSAULT,38.0,B,F,ON VIEW,Y,UNARMED
36581,2016-11-28,12:00,ALCOHOL,38.0,B,M,SUMMONED/CITED,Y,UNARMED
36590,2016-12-01,16:36,DRUGS,25.0,B,M,ON VIEW,U,UNARMED
36593,2016-12-02,2:24,ALCOHOL,21.0,W,M,SUMMONED/CITED,Y,UNARMED
36595,2016-12-02,14:18,FAIL TO APPEAR,70.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36605,2016-12-04,0:07,ALCOHOL,55.0,W,M,SUMMONED/CITED,Y,UNARMED
36607,2016-12-04,0:50,ALCOHOL,20.0,W,M,SUMMONED/CITED,Y,UNARMED
36622,2016-12-06,12:49,FAIL TO APPEAR,23.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36613,2016-12-06,18:27,OTHER,18.0,B,M,SUMMONED/CITED,N,UNARMED
36618,2016-12-06,19:11,DWI,19.0,W,M,ON VIEW,Y,UNARMED
36630,2016-12-10,4:48,DWI,22.0,B,F,ON VIEW,Y,UNARMED
36628,2016-12-10,15:37,FAIL TO APPEAR,49.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
36637,2016-12-10,19:27,DWI,21.0,B,M,ON VIEW,Y,UNARMED
36643,2016-12-12,18:27,DRUGS,21.0,B,M,ON VIEW,N,UNARMED
36647,2016-12-13,14:12,OTHER,28.0,W,M,SUMMONED/CITED,N,UNARMED
36648,2016-12-13,14:16,OTHER,51.0,W,M,SUMMONED/CITED,N,UNARMED
36650,2016-12-13,21:47,DWI,40.0,W,M,ON VIEW,Y,UNARMED
36654,2016-12-15,0:33,OTHER,25.0,B,M,ON VIEW,Y,HANDGUN
36655,2016-12-15,9:58,TRESPASSING,25.0,B,M,SUMMONED/CITED,N,UNARMED
36662,2016-12-16,11:50,FAIL TO APPEAR,52.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36665,2016-12-17,2:39,OTHER,25.0,B,M,ON VIEW,Y,UNARMED
36666,2016-12-17,2:39,OTHER,25.0,B,M,ON VIEW,Y,UNARMED
36674,2016-12-19,16:11,DRUGS,43.0,B,M,SUMMONED/CITED,Y,UNARMED
36675,2016-12-20,12:38,ASSAULT,53.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36679,2016-12-20,23:22,DRUGS,29.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36681,2016-12-21,14:30,ASSAULT,33.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36683,2016-12-21,20:04,OTHER,55.0,W,M,SUMMONED/CITED,Y,UNARMED
36686,2016-12-22,17:00,ALCOHOL,62.0,W,M,SUMMONED/CITED,Y,UNARMED
36701,2016-12-29,6:01,ASSAULT,25.0,W,M,ON VIEW,Y,UNARMED
36712,2017-01-01,22:43,DWI,39.0,W,F,ON VIEW,Y,UNARMED
36711,2017-01-02,0:10,LARCENY,52.0,B,F,SUMMONED/CITED,Y,UNARMED
36715,2017-01-02,16:30,DRUGS,49.0,B,F,SUMMONED/CITED,Y,UNARMED
36716,2017-01-02,16:41,OTHER,50.0,B,M,ON VIEW,U,UNARMED
36718,2017-01-03,11:38,FAIL TO APPEAR,28.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36722,2017-01-03,19:16,TRESPASSING,23.0,B,M,ON VIEW,N,UNARMED
36741,2017-01-04,5:42,ASSAULT,31.0,A,M,ON VIEW,N,UNARMED
36793,2017-01-06,3:19,OTHER,22.0,W,M,SUMMONED/CITED,Y,UNARMED
36734,2017-01-06,3:23,OTHER,22.0,W,M,SUMMONED/CITED,Y,UNARMED
36754,2017-01-13,23:46,OTHER,22.0,W,M,SUMMONED/CITED,Y,UNARMED
36762,2017-01-16,19:37,OTHER,34.0,B,F,SUMMONED/CITED,N,UNARMED
36764,2017-01-17,10:54,TRESPASSING,52.0,B,M,SUMMONED/CITED,U,UNARMED
36770,2017-01-20,0:35,OTHER,19.0,W,M,SUMMONED/CITED,Y,UNARMED
36772,2017-01-20,11:31,ALCOHOL,34.0,W,M,SUMMONED/CITED,Y,UNARMED
36778,2017-01-21,9:59,OTHER,32.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36782,2017-01-21,14:45,LARCENY,39.0,W,M,ON VIEW,Y,UNARMED
36786,2017-01-21,23:00,DWI,22.0,W,M,ON VIEW,Y,UNARMED
36791,2017-01-22,21:25,OTHER,36.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36794,2017-01-23,22:26,DWI,28.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36800,2017-01-25,23:20,DWI,40.0,B,F,ON VIEW,Y,UNARMED
36801,2017-01-26,17:05,FAIL TO APPEAR,25.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36805,2017-01-28,3:23,ASSAULT,29.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36809,2017-01-28,21:35,OTHER,39.0,B,M,ON VIEW,Y,UNARMED
36813,2017-01-29,15:45,ASSAULT,48.0,W,F,ON VIEW,N,UNARMED
36816,2017-02-01,2:52,OTHER,21.0,W,M,SUMMONED/CITED,U,UNARMED
36818,2017-02-01,14:56,TRESPASSING,57.0,W,M,ON VIEW,Y,UNARMED
36821,2017-02-02,3:15,DWI,28.0,W,M,ON VIEW,Y,UNARMED
36822,2017-02-02,14:45,TRESPASSING,62.0,B,M,ON VIEW,Y,UNARMED
36824,2017-02-03,2:48,ASSAULT,35.0,B,M,ON VIEW,Y,UNARMED
36827,2017-02-03,17:53,OTHER,57.0,W,M,ON VIEW,Y,UNARMED
36843,2017-02-09,17:39,OTHER,18.0,B,M,ON VIEW,N,UNARMED
36842,2017-02-09,17:53,OTHER,27.0,B,F,ON VIEW,N,HANDGUN
36847,2017-02-11,15:45,ALCOHOL,50.0,W,F,SUMMONED/CITED,N,UNARMED
36857,2017-02-11,16:40,OTHER,29.0,W,M,ON VIEW,U,UNARMED
36854,2017-02-12,0:51,OTHER,31.0,W,M,SUMMONED/CITED,Y,UNARMED
36861,2017-02-13,22:49,FAIL TO APPEAR,56.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36864,2017-02-15,15:45,ALCOHOL,55.0,W,M,SUMMONED/CITED,Y,UNARMED
36871,2017-02-16,20:00,TRESPASSING,20.0,B,F,SUMMONED/CITED,N,UNARMED
36879,2017-02-18,1:27,FAIL TO APPEAR,25.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36885,2017-02-19,0:18,OTHER,20.0,W,F,SUMMONED/CITED,U,UNARMED
36894,2017-02-19,0:51,OTHER,20.0,W,F,SUMMONED/CITED,U,UNARMED
36893,2017-02-19,2:05,DWI,22.0,W,M,ON VIEW,Y,UNARMED
36900,2017-02-19,2:12,OTHER,19.0,W,M,SUMMONED/CITED,Y,UNARMED
36905,2017-02-20,11:51,ASSAULT,46.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36903,2017-02-20,17:08,ASSAULT,47.0,A,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36909,2017-02-22,19:30,ALCOHOL,55.0,W,M,SUMMONED/CITED,Y,UNARMED
36916,2017-02-23,16:04,FAIL TO APPEAR,46.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36920,2017-02-23,23:19,DWI,50.0,W,M,ON VIEW,Y,UNARMED
36922,2017-02-24,22:32,DRUGS,27.0,W,F,SUMMONED/CITED,N,UNARMED
36924,2017-02-25,19:53,DWI,33.0,W,M,ON VIEW,Y,UNARMED
36927,2017-02-26,1:20,OTHER,25.0,W,M,ON VIEW,Y,UNARMED
36928,2017-02-26,12:46,TRESPASSING,53.0,B,F,ON VIEW,Y,UNARMED
36929,2017-02-26,20:49,DWI,66.0,W,M,ON VIEW,Y,UNARMED
36936,2017-03-01,5:32,LARCENY,33.0,B,M,ON VIEW,U,UNARMED
36942,2017-03-03,2:45,DRUGS,22.0,B,F,SUMMONED/CITED,Y,UNARMED
36945,2017-03-04,2:08,ALCOHOL,20.0,W,M,SUMMONED/CITED,Y,UNARMED
36951,2017-03-05,0:50,OTHER,62.0,W,F,SUMMONED/CITED,Y,UNARMED
36977,2017-03-05,1:00,OTHER,20.0,W,F,SUMMONED/CITED,Y,UNARMED
36962,2017-03-06,21:50,DRUGS,21.0,W,M,SUMMONED/CITED,Y,UNARMED
36971,2017-03-08,17:13,ASSAULT,24.0,B,F,ON VIEW,U,UNARMED
36974,2017-03-09,22:50,DRUGS,35.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
36978,2017-03-10,21:32,ASSAULT,28.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
36981,2017-03-12,1:00,OTHER,57.0,W,M,SUMMONED/CITED,Y,UNARMED
36998,2017-03-15,16:45,FAIL TO APPEAR,63.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
37000,2017-03-16,17:41,OTHER,40.0,B,F,SUMMONED/CITED,N,UNARMED
37017,2017-03-22,1:56,OTHER,30.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37026,2017-03-24,9:45,OTHER,46.0,B,F,SUMMONED/CITED,N,UNARMED
37028,2017-03-24,21:48,OTHER,46.0,B,M,SUMMONED/CITED,Y,UNARMED
37029,2017-03-24,22:08,OTHER,62.0,W,M,SUMMONED/CITED,Y,UNARMED
37031,2017-03-24,23:15,ALCOHOL,22.0,W,M,SUMMONED/CITED,Y,UNARMED
37046,2017-03-25,4:08,DWI,24.0,B,F,ON VIEW,Y,UNARMED
37039,2017-03-25,20:44,OTHER,19.0,W,F,SUMMONED/CITED,Y,UNARMED
37044,2017-03-25,20:55,ALCOHOL,21.0,W,F,SUMMONED/CITED,Y,UNARMED
37045,2017-03-25,21:17,OTHER,21.0,W,M,SUMMONED/CITED,Y,UNARMED
37035,2017-03-25,21:40,ALCOHOL,34.0,I,M,SUMMONED/CITED,N,UNARMED
37040,2017-03-25,22:25,ALCOHOL,52.0,W,F,SUMMONED/CITED,N,UNARMED
37047,2017-03-27,6:45,ASSAULT,23.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
37048,2017-03-27,17:26,FAIL TO APPEAR,62.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37050,2017-03-28,1:52,DRUGS,49.0,W,M,SUMMONED/CITED,Y,UNARMED
37066,2017-04-01,17:05,DRUGS,20.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
37087,2017-04-05,16:46,ALCOHOL,50.0,B,M,ON VIEW,Y,UNARMED
37088,2017-04-06,7:19,ASSAULT,30.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37095,2017-04-08,22:15,OTHER,21.0,W,M,SUMMONED/CITED,Y,UNARMED
37097,2017-04-08,22:15,OTHER,20.0,W,M,SUMMONED/CITED,Y,UNARMED
37102,2017-04-09,2:56,DWI,31.0,B,M,ON VIEW,Y,UNARMED
37108,2017-04-11,0:42,FAIL TO APPEAR,32.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37118,2017-04-12,3:45,OTHER,21.0,W,F,ON VIEW,Y,UNARMED
37120,2017-04-12,17:44,OTHER,27.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37140,2017-04-18,16:13,DWI,49.0,W,F,ON VIEW,Y,UNARMED
37144,2017-04-20,12:07,OTHER,38.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37157,2017-04-24,18:42,OTHER,34.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37159,2017-04-25,11:11,FAIL TO APPEAR,28.0,W,F,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
37175,2017-04-25,14:25,DRUGS,52.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37165,2017-04-26,10:57,FAIL TO APPEAR,45.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
37183,2017-04-29,0:45,OTHER,19.0,I,M,SUMMONED/CITED,Y,UNARMED
37185,2017-04-29,15:35,FAIL TO APPEAR,57.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37191,2017-04-30,12:40,DRUGS,38.0,B,M,SUMMONED/CITED,Y,UNARMED
37195,2017-05-01,18:53,ASSAULT,19.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37198,2017-05-01,20:50,LARCENY,32.0,B,M,SUMMONED/CITED,Y,UNARMED
37196,2017-05-01,23:13,DRUGS,24.0,B,M,SUMMONED/CITED,Y,UNARMED
37201,2017-05-03,4:21,TRESPASSING,53.0,B,F,SUMMONED/CITED,Y,UNARMED
37203,2017-05-03,14:47,DRUGS,57.0,W,M,SUMMONED/CITED,Y,UNARMED
37206,2017-05-03,14:55,DRUGS,46.0,W,M,SUMMONED/CITED,Y,UNARMED
37214,2017-05-04,10:53,FAIL TO APPEAR,23.0,B,F,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37215,2017-05-04,15:04,ALCOHOL,52.0,B,M,SUMMONED/CITED,Y,UNARMED
37219,2017-05-05,13:12,OTHER,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),N,UNARMED
37232,2017-05-06,4:09,DRUGS,20.0,B,M,SUMMONED/CITED,Y,UNARMED
37228,2017-05-06,5:20,OTHER,21.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
37240,2017-05-07,23:08,DRUGS,33.0,B,M,ON VIEW,Y,UNARMED
37244,2017-05-09,7:53,FAIL TO APPEAR,33.0,W,M,TAKEN INTO CUSTODY (WARRANT/LP),Y,UNARMED
37246,2017-05-09,18:05,DWI,56.0,W,M,ON VIEW,Y,UNARMED
37254,2017-05-12,14:55,ALCOHOL,56.0,B,M,SUMMONED/CITED,Y,UNARMED
37255,2017-05-12,14:55,ALCOHOL,51.0,B,M,SUMMONED/CITED,Y,UNARMED
37266,2017-05-13,12:58,ALCOHOL,50.0,B,M,SUMMONED/CITED,Y,UNARMED
37260,2017-05-14,6:58,TRESPASSING,45.0,B,M,SUMMONED/CITED,Y,UNARMED
37263,2017-05-14,14:15,ALCOHOL,58.0,W,M,SUMMONED/CITED,Y,UNARMED
37269,2017-05-15,17:03,OTHER,23.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
37278,2017-05-17,23:42,OTHER,38.0,B,M,TAKEN INTO CUSTODY (WARRANT/LP),U,UNARMED
37279,2017-05-18,9:41,OTHER,36.0,W,F,SUMMONED/CITED,N,UNARMED
37289,2017-05-20,5:25,DWI,28.0,W,M,ON VIEW,Y,UNARMED
37288,2017-05-20,8:03,ALCOHOL,56.0,W,M,SUMMONED/CITED,Y,UNARMED
